订单编号,地址,纬度,经度,重量(kg),体积(m³),最早到达,最晚到达,服务时间(分钟),备注
ORD001,上海市浦东新区张杨北路2503号,31.262,121.585,120,0.25,06:00,09:00,5,优先配送
ORD002,上海市松江区沪亭北路781号,31.151,121.314,108,0.18,06:00,10:00,5,
ORD003,上海市闵行区七莘路3155号,31.157,121.346,31,0.08,06:00,12:00,5,
ORD004,上海市奉贤区海思路789弄,30.850,121.557,20,0.05,08:00,18:00,5,
ORD005,上海市金山区学府路1591号,30.750,121.320,45,0.12,08:00,18:00,5,
ORD006,上海市徐汇区漕宝路2697号,31.157,121.350,200,0.52,06:00,09:00,5,优先配送
ORD007,上海市嘉定区安亭镇墨玉南路1080号,31.295,121.164,65,0.15,10:00,18:00,5,
ORD008,上海市宝山区牡丹江路1508号,31.409,121.487,88,0.20,08:00,18:00,5,
ORD009,上海市青浦区华新镇新凤中路588号,31.247,121.223,150,0.35,06:00,12:00,5,
ORD010,上海市浦东新区惠南镇文益街79号,31.046,121.754,230,0.60,06:00,14:00,10,
